case_type,case,period,window,top_n,cost_bps,total_return,annual_return,annual_volatility,sharpe_ratio_rf0,return_vol_ratio,max_drawdown,daily_win_rate,trade_count,rebalance_count,total_fees,total_turnover
strategy,window_120_top_2,validation,120,2.0,5,0.04244796144152674,0.016048514167718464,0.24704479485729575,0.1893971918438046,0.064961960348077,-0.29819721705141966,0.5151975683890577,91,33,13558.499802064302,26.43869636686594
strategy,window_120_top_3,research,120,3.0,5,0.03690886736946242,0.015681305043091287,0.10184500822198324,0.20367868002767037,0.15397224976320908,-0.1427793886669514,0.5315161839863713,105,29,6542.9834399846195,13.445251402119112
strategy,window_120_top_3,validation,120,3.0,5,0.20371031551307417,0.0735893780737753,0.21590389206486837,0.4381584778861275,0.3408432213517733,-0.2600434144058893,0.547112462006079,125,33,10126.333973135876,19.04351643020822
strategy,window_20+60+120_top_1,research,20+60+120,1.0,5,-0.2832526188192903,-0.1332208593232972,0.1845621055064853,-0.6821068418070307,-0.7218213021449084,-0.36473050218593805,0.48722316865417375,41,29,15242.866413531461,41.05293503379583
strategy,window_20+60+120_top_1,validation,20+60+120,1.0,5,0.19114059810341555,0.06928191890381497,0.3104994215330916,0.37271789534338334,0.22313058929944324,-0.3280916827500221,0.5106382978723404,27,33,14349.255906545404,27.076868055251744
strategy,window_20+60+120_top_2,research,20+60+120,2.0,5,-0.17128492193399725,-0.07748965562865251,0.1360279649703235,-0.5248035968988026,-0.5696597434620008,-0.2946580696504906,0.5025553662691652,85,29,11622.394413505997,28.23373940189324
strategy,window_20+60+120_top_2,validation,20+60+120,2.0,5,-0.08826236311369584,-0.03476953901478175,0.24976489406570299,-0.01531845762783214,-0.13920907157446752,-0.306185973085229,0.5303951367781155,93,33,13609.370237270818,28.257106760228282
strategy,window_20+60+120_top_3,research,20+60+120,3.0,5,-0.07703380191278941,-0.03382853046255263,0.11111265600906045,-0.25413589989217594,-0.3044525410300169,-0.24126713918612475,0.5212947189097104,114,29,8647.64176639057,19.28143756936717
strategy,window_20+60+120_top_3,validation,20+60+120,3.0,5,0.18525309549129876,0.06725471016418871,0.21524976299937396,0.41133831957647965,0.31244963630637923,-0.24715579460190584,0.560790273556231,124,33,10382.09207347341,18.295290197557122
benchmark,equal_weight,research,,,5,-0.03172985765276459,-0.013747100056093364,0.1051902166070719,-0.07894000952192166,-0.1306880097741823,-0.17012577351515779,0.5178875638841567,7,1,499.75012493753127,0.9995002498750625
benchmark,equal_weight,validation,,,5,0.5740599401904354,0.1897479167984244,0.159232150367135,1.1712642638757826,1.1916432476791303,-0.11223563311727358,0.5547112462006079,7,1,499.75012493753127,0.9995002498750625
benchmark,csi300,research,,,5,-0.2748723677377025,-0.1288845598046533,0.18011941858528435,-0.675930624679016,-0.7155506097951789,-0.34817472040514963,0.44122657580919933,1,1,499.7501249375313,0.9995002498750626
benchmark,csi300,validation,,,5,0.4058768257088097,0.13935918406869496,0.19730535112580616,0.7597413466864498,0.7063122377245437,-0.1706736491311598,0.5091185410334347,1,1,499.7501249375313,0.9995002498750626
